                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.86285,                0.41748,                 0.9872,                0.98646,                0.94608,                0.97164,                0.66713,                 1.2163,                0.47942,                 1.1385,              0.0011751,              0.0011751,              0.0011751
                     70,                0.86273,                0.41648,                0.98808,                0.97401,                0.97358,                0.98479,                0.66635,                 1.1948,                0.46303,                 1.1185,              0.0011546,              0.0011546,              0.0011546
                     71,                 0.8576,                0.41347,                0.98653,                0.97356,                0.95654,                0.97186,                 0.6722,                 1.1972,                0.48519,                  1.126,              0.0011341,              0.0011341,              0.0011341
                     72,                0.85917,                0.41168,                0.98577,                0.97068,                0.94805,                0.97072,                 0.6597,                  1.192,                0.48991,                 1.1211,              0.0011135,              0.0011135,              0.0011135
                     73,                 0.8604,                0.41023,                0.98679,                0.98348,                0.96104,                0.96907,                0.67974,                 1.1587,                0.44899,                 1.1061,              0.0010928,              0.0010928,              0.0010928
                     74,                0.84981,                0.40874,                0.98198,                0.96709,                0.94805,                0.97148,                0.65705,                 1.1733,                0.45092,                 1.1048,              0.0010722,              0.0010722,              0.0010722
                     75,                0.85017,                0.40707,                0.98462,                0.98584,                0.97403,                0.98457,                0.66495,                 1.1846,                0.45564,                 1.1256,              0.0010515,              0.0010515,              0.0010515
                     76,                0.85141,                0.40475,                0.98296,                0.98663,                0.96104,                0.96547,                0.65313,                 1.1891,                0.45539,                 1.1256,              0.0010307,              0.0010307,              0.0010307
                     77,                0.84975,                0.40567,                0.98622,                0.98665,                0.95965,                0.96503,                0.64843,                 1.1979,                0.44416,                 1.1335,                0.00101,                0.00101,                0.00101
                     78,                0.84988,                0.40276,                0.98088,                0.94674,                0.94805,                0.95441,                0.66535,                 1.1586,                0.43203,                  1.126,             0.00098927,             0.00098927,             0.00098927
                     79,                0.84248,                0.40281,                0.97997,                0.98666,                0.96053,                 0.9639,                0.65448,                  1.197,                0.46802,                 1.1397,             0.00096854,             0.00096854,             0.00096854
                     80,                0.84287,                0.40178,                0.97615,                0.98327,                0.93506,                0.96349,                0.66994,                    1.2,                0.46946,                 1.1168,             0.00094784,             0.00094784,             0.00094784
                     81,                0.84755,                0.40282,                0.98361,                0.97229,                0.96104,                0.95849,                0.66053,                 1.1947,                0.46767,                 1.1143,             0.00092716,             0.00092716,             0.00092716
                     82,                0.83978,                0.39936,                0.98084,                0.98549,                0.97403,                0.98137,                0.65221,                 1.2068,                0.47032,                 1.1225,             0.00090652,             0.00090652,             0.00090652
                     83,                0.84318,                0.39986,                0.98173,                0.98642,                0.94367,                 0.9589,                0.64628,                 1.2531,                0.50177,                 1.1448,             0.00088592,             0.00088592,             0.00088592
                     84,                0.84293,                0.39823,                 0.9798,                0.98648,                0.94755,                0.96118,                0.66086,                 1.1822,                0.47452,                 1.0976,             0.00086538,             0.00086538,             0.00086538
                     85,                0.83169,                0.39302,                0.97734,                0.98421,                0.96104,                0.95765,                0.66956,                 1.1793,                0.47032,                 1.1153,              0.0008449,              0.0008449,              0.0008449
                     86,                0.83718,                0.39513,                0.97375,                0.96097,                0.95926,                0.96325,                0.66501,                 1.1943,                 0.4947,                 1.1191,             0.00082449,             0.00082449,             0.00082449
                     87,                 0.8291,                0.39035,                0.97081,                0.98648,                0.94777,                0.96584,                0.68153,                 1.1887,                0.46509,                 1.1042,             0.00080417,             0.00080417,             0.00080417
                     88,                0.83567,                 0.3946,                0.97637,                0.98339,                0.96104,                0.96763,                 0.6731,                 1.1721,                0.45758,                 1.1143,             0.00078393,             0.00078393,             0.00078393
                     89,                0.83419,                0.39202,                0.97346,                0.98643,                0.94805,                0.96124,                0.67118,                 1.1763,                0.45657,                  1.109,              0.0007638,              0.0007638,              0.0007638
                     90,                0.83595,                0.39251,                0.97459,                0.97203,                0.96104,                0.97408,                0.67104,                 1.1818,                 0.4472,                 1.1076,             0.00074377,             0.00074377,             0.00074377
                     91,                0.82422,                0.38943,                0.97276,                0.95843,                0.93506,                0.94647,                0.65891,                 1.2179,                0.50508,                 1.1262,             0.00072386,             0.00072386,             0.00072386
                     92,                  0.822,                0.38535,                 0.9696,                0.97153,                0.93506,                0.95565,                0.67047,                 1.1765,                0.45463,                 1.1086,             0.00070407,             0.00070407,             0.00070407
                     93,                0.82236,                0.38678,                0.96811,                0.97059,                0.94805,                0.94795,                0.66678,                 1.1873,                0.45331,                 1.1187,             0.00068442,             0.00068442,             0.00068442
                     94,                0.82159,                0.38495,                0.96836,                0.98513,                0.94805,                0.96603,                 0.6651,                 1.2104,                0.48147,                 1.1238,             0.00066491,             0.00066491,             0.00066491
                     95,                0.82412,                0.38576,                0.97096,                0.99935,                0.97403,                0.98081,                0.68389,                 1.1616,                0.45828,                 1.1012,             0.00064556,             0.00064556,             0.00064556
                     96,                0.82265,                0.38456,                 0.9724,                 0.9716,                0.96104,                0.97286,                0.67982,                 1.1705,                0.46141,                 1.1021,             0.00062636,             0.00062636,             0.00062636
